评分,内容,版本,时间,情绪指数,问题类别,风险标签
5,社区氛围好，互动很积极,2.1.0,2026-06-20,78,电商,低风险
4,社区氛围好，互动很积极,2.0.0,2026-07-18,77,功能,低风险
4,搜索准确，找东西方便多了,1.8.0,2026-06-24,70,功能,低风险
4,购物链路顺畅，下单方便,1.8.0,2026-06-27,83,电商,中风险
4,内容丰富，种草体验很好,1.8.0,2026-06-23,61,功能,低风险
5,内容丰富，种草体验很好,2.1.0,2026-07-17,94,功能,低风险
5,推荐算法不错，经常有好物,1.9.0,2026-06-14,87,搜索,中风险
2,搜索功能越来越难用,1.8.0,2026-07-25,25,广告,低风险
2,评论区被水军刷屏,1.9.0,2026-06-18,16,账号,高风险
2,评论区被水军刷屏,1.8.0,2026-06-19,12,客服,高风险
5,直播体验不错，带货实在,1.8.0,2026-07-18,91,搜索,中风险
2,客服完全联系不上，太失望了,1.9.0,2026-06-16,6,功能,高风险
5,界面简洁，用起来很顺手,1.8.0,2026-06-11,61,内容,低风险
2,客服完全联系不上，太失望了,1.9.0,2026-07-19,13,广告,高风险
4,购物链路顺畅，下单方便,2.1.0,2026-06-17,92,社区,低风险
4,视频流畅，加载很快,1.9.0,2026-07-26,67,内容,低风险
2,账号莫名被禁言，没有任何通知,1.8.0,2026-06-30,25,广告,低风险
4,笔记质量高，信息量很大,1.8.0,2026-07-20,95,社区,低风险
4,直播体验不错，带货实在,1.8.0,2026-06-16,77,搜索,低风险
1,隐私设置形同虚设,2.0.0,2026-07-05,10,内容,高风险
4,视频流畅，加载很快,2.0.0,2026-06-26,61,内容,低风险
5,推荐算法不错，经常有好物,1.9.0,2026-07-02,60,搜索,中风险
1,无故封号，申诉没人理,2.1.0,2026-06-26,9,广告,高风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-06-28,39,功能,低风险
5,购物链路顺畅，下单方便,1.9.0,2026-06-12,96,内容,低风险
3,功能还行，中规中矩,1.9.0,2026-06-15,48,内容,低风险
5,搜索准确，找东西方便多了,2.1.0,2026-06-11,67,内容,低风险
5,购物链路顺畅，下单方便,2.0.0,2026-06-05,78,电商,低风险
2,评论区被水军刷屏,1.9.0,2026-06-05,18,客服,高风险
4,界面简洁，用起来很顺手,1.9.0,2026-07-20,70,电商,低风险
4,视频流畅，加载很快,1.8.0,2026-06-05,72,功能,低风险
4,搜索准确，找东西方便多了,1.8.0,2026-06-14,94,社区,中风险
5,搜索准确，找东西方便多了,1.8.0,2026-07-12,97,搜索,低风险
5,搜索准确，找东西方便多了,1.9.0,2026-06-11,69,电商,低风险
3,功能还行，中规中矩,1.9.0,2026-07-28,49,内容,中风险
5,界面简洁，用起来很顺手,1.9.0,2026-07-14,75,内容,低风险
4,社区氛围好，互动很积极,1.8.0,2026-07-24,78,搜索,低风险
2,广告越来越多，推荐质量下降,1.9.0,2026-06-17,25,账号,低风险
3,用了一阵子，感觉普通,2.0.0,2026-06-14,45,内容,低风险
2,搜索功能越来越难用,1.9.0,2026-07-12,21,功能,低风险
5,视频流畅，加载很快,1.8.0,2026-07-20,67,社区,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-07-30,42,功能,低风险
4,视频流畅，加载很快,1.8.0,2026-07-29,84,电商,中风险
5,视频流畅，加载很快,1.8.0,2026-07-16,81,社区,中风险
5,推荐算法不错，经常有好物,2.0.0,2026-06-24,77,电商,低风险
5,推荐算法不错，经常有好物,2.1.0,2026-07-13,82,功能,低风险
3,界面还可以，就是偶尔卡顿,2.1.0,2026-06-16,53,功能,低风险
5,笔记质量高，信息量很大,1.9.0,2026-06-24,91,搜索,低风险
5,界面简洁，用起来很顺手,1.8.0,2026-06-23,75,功能,低风险
4,内容丰富，种草体验很好,2.0.0,2026-06-25,100,内容,低风险
5,攻略很实用，收藏了很多,1.9.0,2026-06-09,99,搜索,低风险
5,社区氛围好，互动很积极,2.1.0,2026-07-22,61,功能,中风险
5,搜索准确，找东西方便多了,1.8.0,2026-06-10,81,搜索,中风险
1,客服完全联系不上，太失望了,1.9.0,2026-07-20,20,广告,低风险
4,视频流畅，加载很快,2.0.0,2026-07-17,78,内容,低风险
4,笔记质量高，信息量很大,1.9.0,2026-07-23,83,社区,中风险
4,推荐算法不错，经常有好物,2.1.0,2026-07-21,78,社区,低风险
4,内容丰富，种草体验很好,2.0.0,2026-07-17,97,内容,中风险
5,视频流畅，加载很快,1.9.0,2026-06-21,72,搜索,低风险
5,内容丰富，种草体验很好,1.8.0,2026-07-25,93,电商,低风险
4,视频流畅，加载很快,2.0.0,2026-07-06,71,搜索,低风险
3,功能还行，中规中矩,2.0.0,2026-07-16,38,功能,低风险
3,用了一阵子，感觉普通,1.9.0,2026-06-28,56,功能,低风险
1,账号莫名被禁言，没有任何通知,2.0.0,2026-07-24,19,账号,高风险
5,攻略很实用，收藏了很多,1.9.0,2026-06-13,79,功能,中风险
3,用了一阵子，感觉普通,2.0.0,2026-07-28,35,内容,低风险
5,笔记质量高，信息量很大,1.9.0,2026-07-07,86,电商,中风险
4,视频流畅，加载很快,2.1.0,2026-07-27,64,功能,低风险
5,推荐算法不错，经常有好物,1.8.0,2026-06-01,93,内容,中风险
2,评论区被水军刷屏,1.9.0,2026-07-19,3,账号,高风险
4,内容丰富，种草体验很好,2.0.0,2026-06-12,87,功能,低风险
1,内容审核乱封号，误伤严重,1.8.0,2026-06-03,5,客服,高风险
5,界面简洁，用起来很顺手,2.1.0,2026-06-29,86,内容,低风险
5,直播体验不错，带货实在,1.8.0,2026-06-26,61,社区,低风险
2,评论区被水军刷屏,2.0.0,2026-07-28,5,客服,高风险
2,隐私设置形同虚设,2.0.0,2026-06-25,23,账号,低风险
5,攻略很实用，收藏了很多,2.1.0,2026-07-26,89,电商,低风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-06-16,50,功能,低风险
3,功能还行，中规中矩,1.8.0,2026-06-12,39,功能,低风险
3,一般般，没有惊喜,1.9.0,2026-06-14,40,功能,低风险
2,无故封号，申诉没人理,2.0.0,2026-07-08,7,账号,高风险
2,更新后经常闪退，体验很差,2.1.0,2026-07-02,8,客服,高风险
5,攻略很实用，收藏了很多,2.1.0,2026-07-27,82,搜索,低风险
4,内容丰富，种草体验很好,2.1.0,2026-07-10,73,功能,中风险
4,内容丰富，种草体验很好,2.1.0,2026-07-02,90,社区,低风险
5,购物链路顺畅，下单方便,2.0.0,2026-06-01,77,内容,低风险
3,界面还可以，就是偶尔卡顿,2.1.0,2026-06-22,26,内容,低风险
5,推荐算法不错，经常有好物,1.8.0,2026-07-19,70,内容,中风险
5,攻略很实用，收藏了很多,2.0.0,2026-07-02,97,电商,低风险
4,笔记质量高，信息量很大,2.1.0,2026-06-15,61,内容,低风险
5,视频流畅，加载很快,1.9.0,2026-06-17,65,内容,低风险
1,隐私设置形同虚设,1.8.0,2026-07-23,19,账号,高风险
1,客服完全联系不上，太失望了,2.0.0,2026-07-03,13,客服,高风险
1,内容审核乱封号，误伤严重,2.0.0,2026-07-11,13,功能,高风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-06-16,29,功能,中风险
5,社区氛围好，互动很积极,2.0.0,2026-07-25,67,社区,中风险
4,推荐算法不错，经常有好物,2.0.0,2026-06-24,91,搜索,低风险
4,视频流畅，加载很快,2.0.0,2026-06-14,74,内容,中风险
4,购物链路顺畅，下单方便,2.0.0,2026-07-06,97,电商,低风险
1,隐私设置形同虚设,1.8.0,2026-07-28,1,广告,高风险
5,直播体验不错，带货实在,1.8.0,2026-07-09,65,电商,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-07-07,56,功能,中风险
4,搜索准确，找东西方便多了,1.9.0,2026-07-08,90,搜索,低风险
4,内容丰富，种草体验很好,2.1.0,2026-07-08,78,搜索,低风险
2,评论区被水军刷屏,2.0.0,2026-07-06,19,客服,高风险
4,界面简洁，用起来很顺手,2.1.0,2026-07-29,73,内容,低风险
4,购物链路顺畅，下单方便,2.0.0,2026-06-11,96,电商,中风险
5,推荐算法不错，经常有好物,1.8.0,2026-06-16,80,搜索,低风险
3,用了一阵子，感觉普通,2.1.0,2026-06-04,58,功能,中风险
5,攻略很实用，收藏了很多,1.9.0,2026-07-05,97,社区,中风险
5,社区氛围好，互动很积极,2.1.0,2026-07-24,69,功能,中风险
5,界面简洁，用起来很顺手,1.8.0,2026-07-17,83,功能,低风险
4,社区氛围好，互动很积极,1.8.0,2026-06-01,93,社区,低风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-07-02,43,内容,中风险
5,攻略很实用，收藏了很多,1.9.0,2026-06-24,76,内容,低风险
2,账号莫名被禁言，没有任何通知,2.1.0,2026-07-28,23,功能,低风险
2,账号莫名被禁言，没有任何通知,1.8.0,2026-06-03,16,广告,高风险
2,无故封号，申诉没人理,2.0.0,2026-07-09,16,账号,高风险
4,笔记质量高，信息量很大,2.1.0,2026-07-02,91,社区,低风险
5,直播体验不错，带货实在,2.0.0,2026-07-26,71,内容,低风险
5,界面简洁，用起来很顺手,1.8.0,2026-07-12,63,内容,低风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-07-29,35,内容,低风险
5,搜索准确，找东西方便多了,1.9.0,2026-06-13,73,搜索,低风险
2,笔记被限流，流量骤降,2.1.0,2026-07-02,9,广告,高风险
4,界面简洁，用起来很顺手,2.1.0,2026-06-04,96,搜索,低风险
5,推荐算法不错，经常有好物,1.8.0,2026-07-15,80,电商,低风险
5,笔记质量高，信息量很大,1.9.0,2026-07-19,62,搜索,低风险
4,攻略很实用，收藏了很多,2.1.0,2026-07-26,90,电商,低风险
4,搜索准确，找东西方便多了,2.1.0,2026-07-25,100,电商,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-07-28,37,功能,低风险
4,购物链路顺畅，下单方便,2.0.0,2026-07-30,94,电商,低风险
5,直播体验不错，带货实在,1.8.0,2026-06-28,81,电商,低风险
5,视频流畅，加载很快,1.8.0,2026-06-01,63,搜索,中风险
4,笔记质量高，信息量很大,2.1.0,2026-06-10,75,电商,低风险
3,一般般，没有惊喜,2.0.0,2026-06-20,46,功能,低风险
4,内容丰富，种草体验很好,1.9.0,2026-06-16,82,电商,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-07-29,58,内容,低风险
2,客服完全联系不上，太失望了,1.9.0,2026-06-12,9,客服,高风险
5,社区氛围好，互动很积极,2.1.0,2026-06-22,89,功能,低风险
2,账号莫名被禁言，没有任何通知,2.0.0,2026-07-25,7,广告,高风险
4,界面简洁，用起来很顺手,1.9.0,2026-07-21,82,电商,低风险
4,搜索准确，找东西方便多了,1.9.0,2026-07-21,70,社区,低风险
5,内容丰富，种草体验很好,2.1.0,2026-07-07,98,搜索,低风险
4,搜索准确，找东西方便多了,1.9.0,2026-06-17,72,内容,中风险
2,账号莫名被禁言，没有任何通知,2.0.0,2026-06-12,18,功能,高风险
4,笔记质量高，信息量很大,2.1.0,2026-06-15,85,内容,中风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-06-02,47,功能,中风险
2,笔记被限流，流量骤降,1.9.0,2026-07-30,11,账号,高风险
5,攻略很实用，收藏了很多,1.8.0,2026-07-05,78,内容,低风险
4,笔记质量高，信息量很大,2.1.0,2026-07-04,65,社区,中风险
1,隐私设置形同虚设,2.1.0,2026-06-01,2,账号,高风险
1,广告越来越多，推荐质量下降,1.8.0,2026-07-16,22,客服,中风险
5,直播体验不错，带货实在,2.0.0,2026-07-07,97,内容,低风险
5,推荐算法不错，经常有好物,2.0.0,2026-07-01,88,社区,中风险
2,无故封号，申诉没人理,1.8.0,2026-06-25,20,账号,低风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-06-02,58,功能,低风险
5,购物链路顺畅，下单方便,2.0.0,2026-06-05,81,搜索,低风险
2,搜索功能越来越难用,2.0.0,2026-06-08,2,账号,高风险
4,笔记质量高，信息量很大,2.1.0,2026-07-29,70,功能,低风险
5,内容丰富，种草体验很好,1.9.0,2026-06-01,88,内容,低风险
1,评论区被水军刷屏,1.9.0,2026-07-17,20,客服,低风险
4,搜索准确，找东西方便多了,1.8.0,2026-06-02,71,功能,中风险
2,客服完全联系不上，太失望了,2.1.0,2026-07-20,5,客服,高风险
4,内容丰富，种草体验很好,2.1.0,2026-07-03,77,内容,低风险
5,社区氛围好，互动很积极,1.8.0,2026-07-27,92,内容,低风险
2,账号莫名被禁言，没有任何通知,1.9.0,2026-07-13,7,账号,高风险
5,搜索准确，找东西方便多了,2.0.0,2026-06-01,89,搜索,低风险
4,搜索准确，找东西方便多了,1.9.0,2026-06-25,76,电商,低风险
4,搜索准确，找东西方便多了,2.1.0,2026-07-07,83,社区,低风险
3,用了一阵子，感觉普通,1.8.0,2026-06-21,59,其他,中风险
3,一般般，没有惊喜,1.9.0,2026-07-12,58,内容,低风险
1,搜索功能越来越难用,1.8.0,2026-06-10,14,账号,高风险
4,笔记质量高，信息量很大,1.8.0,2026-06-29,61,功能,中风险
5,直播体验不错，带货实在,2.0.0,2026-06-19,82,社区,低风险
5,推荐算法不错，经常有好物,1.9.0,2026-07-19,65,社区,低风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-06-27,28,其他,低风险
4,搜索准确，找东西方便多了,2.0.0,2026-07-01,67,社区,低风险
5,直播体验不错，带货实在,2.1.0,2026-07-14,65,功能,低风险
5,界面简洁，用起来很顺手,1.9.0,2026-06-03,78,搜索,中风险
4,搜索准确，找东西方便多了,2.0.0,2026-06-25,68,搜索,低风险
4,推荐算法不错，经常有好物,1.9.0,2026-06-29,62,功能,低风险
2,评论区被水军刷屏,1.9.0,2026-07-20,12,广告,高风险
4,视频流畅，加载很快,2.0.0,2026-07-07,93,搜索,中风险
4,购物链路顺畅，下单方便,1.9.0,2026-06-17,69,内容,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-07-12,50,其他,低风险
5,搜索准确，找东西方便多了,1.8.0,2026-07-08,75,搜索,低风险
4,推荐算法不错，经常有好物,2.1.0,2026-06-22,91,搜索,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-06-13,51,其他,低风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-07-18,34,内容,低风险
4,搜索准确，找东西方便多了,2.0.0,2026-06-17,66,社区,低风险
4,推荐算法不错，经常有好物,1.9.0,2026-06-08,65,电商,低风险
4,直播体验不错，带货实在,1.9.0,2026-07-20,96,电商,中风险
5,推荐算法不错，经常有好物,1.9.0,2026-06-21,75,社区,低风险
5,界面简洁，用起来很顺手,2.1.0,2026-07-09,69,内容,中风险
5,界面简洁，用起来很顺手,2.1.0,2026-06-09,81,功能,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-06-25,30,功能,低风险
4,直播体验不错，带货实在,1.8.0,2026-07-23,77,电商,低风险
2,客服完全联系不上，太失望了,2.0.0,2026-07-29,24,客服,中风险
5,推荐算法不错，经常有好物,2.0.0,2026-07-24,85,内容,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-07-06,36,其他,低风险
2,隐私设置形同虚设,1.9.0,2026-06-24,14,功能,高风险
4,攻略很实用，收藏了很多,1.8.0,2026-06-30,61,电商,中风险
3,偶尔用用，没啥特别感觉,1.8.0,2026-07-15,30,内容,低风险
4,社区氛围好，互动很积极,2.0.0,2026-07-29,97,搜索,中风险
4,搜索准确，找东西方便多了,2.1.0,2026-07-29,69,搜索,低风险
5,攻略很实用，收藏了很多,2.0.0,2026-07-25,76,搜索,低风险
3,界面还可以，就是偶尔卡顿,1.9.0,2026-06-23,45,功能,低风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-07-04,40,功能,低风险
4,推荐算法不错，经常有好物,2.0.0,2026-07-04,98,内容,低风险
5,社区氛围好，互动很积极,2.0.0,2026-06-23,70,电商,低风险
3,界面还可以，就是偶尔卡顿,2.1.0,2026-07-14,34,内容,低风险
5,攻略很实用，收藏了很多,1.8.0,2026-06-20,64,搜索,低风险
5,笔记质量高，信息量很大,1.9.0,2026-06-04,98,社区,低风险
4,购物链路顺畅，下单方便,1.9.0,2026-07-30,85,功能,低风险
4,推荐算法不错，经常有好物,2.1.0,2026-06-29,95,功能,低风险
4,搜索准确，找东西方便多了,1.9.0,2026-07-28,95,功能,中风险
5,内容丰富，种草体验很好,1.9.0,2026-07-27,84,电商,低风险
5,购物链路顺畅，下单方便,1.9.0,2026-07-13,80,社区,低风险
4,视频流畅，加载很快,2.0.0,2026-07-13,66,功能,低风险
5,社区氛围好，互动很积极,1.9.0,2026-07-30,96,功能,低风险
1,搜索功能越来越难用,2.0.0,2026-07-15,20,功能,低风险
3,用了一阵子，感觉普通,2.0.0,2026-06-12,25,功能,低风险
5,直播体验不错，带货实在,1.9.0,2026-06-12,66,社区,低风险
4,搜索准确，找东西方便多了,1.9.0,2026-06-23,99,搜索,中风险
5,购物链路顺畅，下单方便,2.0.0,2026-06-27,77,功能,中风险
5,攻略很实用，收藏了很多,1.9.0,2026-06-13,78,社区,低风险
1,客服完全联系不上，太失望了,1.8.0,2026-06-09,18,账号,高风险
2,隐私设置形同虚设,1.9.0,2026-06-23,19,内容,高风险
5,攻略很实用，收藏了很多,1.8.0,2026-07-02,80,搜索,低风险
5,购物链路顺畅，下单方便,2.1.0,2026-06-02,75,社区,低风险
2,无故封号，申诉没人理,2.1.0,2026-06-10,12,功能,高风险
5,搜索准确，找东西方便多了,1.9.0,2026-06-12,80,搜索,低风险
5,视频流畅，加载很快,2.0.0,2026-06-11,83,搜索,低风险
4,界面简洁，用起来很顺手,2.1.0,2026-06-01,81,功能,低风险
1,隐私设置形同虚设,1.9.0,2026-07-25,15,内容,高风险
5,界面简洁，用起来很顺手,1.9.0,2026-06-30,86,电商,中风险
4,搜索准确，找东西方便多了,2.1.0,2026-07-16,83,电商,低风险
4,社区氛围好，互动很积极,1.9.0,2026-06-10,89,功能,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-07-16,47,内容,中风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-06-11,54,其他,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-06-09,33,功能,低风险
4,社区氛围好，互动很积极,2.1.0,2026-07-09,84,内容,低风险
4,攻略很实用，收藏了很多,1.8.0,2026-06-12,95,电商,中风险
4,内容丰富，种草体验很好,1.8.0,2026-06-05,72,内容,低风险
4,视频流畅，加载很快,2.0.0,2026-06-30,82,社区,低风险
4,推荐算法不错，经常有好物,2.0.0,2026-06-21,75,内容,低风险
4,内容丰富，种草体验很好,2.1.0,2026-06-28,79,电商,中风险
2,隐私设置形同虚设,2.1.0,2026-07-18,16,客服,高风险
4,直播体验不错，带货实在,2.0.0,2026-07-30,85,搜索,低风险
5,视频流畅，加载很快,1.9.0,2026-07-14,93,功能,低风险
3,用了一阵子，感觉普通,1.8.0,2026-06-18,60,功能,中风险
5,社区氛围好，互动很积极,1.9.0,2026-07-07,84,内容,低风险
1,搜索功能越来越难用,2.0.0,2026-07-29,24,广告,低风险
4,推荐算法不错，经常有好物,2.0.0,2026-06-04,62,功能,低风险
5,攻略很实用，收藏了很多,2.1.0,2026-07-08,74,社区,低风险
5,购物链路顺畅，下单方便,2.0.0,2026-07-11,70,内容,中风险
5,社区氛围好，互动很积极,1.9.0,2026-06-16,74,电商,低风险
3,用了一阵子，感觉普通,2.0.0,2026-06-25,36,内容,低风险
5,搜索准确，找东西方便多了,1.8.0,2026-07-12,64,功能,低风险
3,一般般，没有惊喜,1.8.0,2026-06-10,29,内容,低风险
1,内容审核乱封号，误伤严重,2.0.0,2026-07-18,6,内容,高风险
4,推荐算法不错，经常有好物,2.1.0,2026-06-23,61,搜索,低风险
4,攻略很实用，收藏了很多,2.1.0,2026-07-09,93,社区,低风险
5,界面简洁，用起来很顺手,1.8.0,2026-06-02,79,功能,低风险
4,笔记质量高，信息量很大,2.0.0,2026-06-26,64,功能,低风险
4,社区氛围好，互动很积极,1.9.0,2026-07-17,62,社区,低风险
2,更新后经常闪退，体验很差,2.1.0,2026-06-16,8,客服,高风险
3,用了一阵子，感觉普通,1.9.0,2026-06-03,47,其他,低风险
5,笔记质量高，信息量很大,2.1.0,2026-06-09,98,功能,中风险
4,攻略很实用，收藏了很多,2.1.0,2026-07-29,64,电商,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-06-26,36,其他,中风险
5,推荐算法不错，经常有好物,1.8.0,2026-06-05,93,搜索,低风险
4,视频流畅，加载很快,2.1.0,2026-07-18,77,搜索,低风险
1,笔记被限流，流量骤降,1.9.0,2026-07-04,14,账号,高风险
3,用了一阵子，感觉普通,2.1.0,2026-07-01,38,功能,低风险
4,内容丰富，种草体验很好,1.8.0,2026-07-16,74,内容,低风险
3,偶尔用用，没啥特别感觉,1.8.0,2026-07-08,33,其他,中风险
4,推荐算法不错，经常有好物,1.9.0,2026-06-11,72,社区,低风险
5,界面简洁，用起来很顺手,1.9.0,2026-06-09,62,内容,中风险
3,用了一阵子，感觉普通,2.0.0,2026-06-23,33,其他,中风险
3,用了一阵子，感觉普通,1.9.0,2026-06-27,53,功能,低风险
5,购物链路顺畅，下单方便,2.1.0,2026-07-04,82,搜索,中风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-07-05,25,内容,低风险
4,界面简洁，用起来很顺手,2.1.0,2026-07-06,78,搜索,低风险
4,笔记质量高，信息量很大,2.1.0,2026-06-12,100,功能,低风险
5,界面简洁，用起来很顺手,2.1.0,2026-06-03,86,功能,中风险
5,界面简洁，用起来很顺手,2.1.0,2026-07-21,78,内容,低风险
5,社区氛围好，互动很积极,1.9.0,2026-07-17,91,功能,低风险
3,功能还行，中规中矩,2.1.0,2026-07-18,46,功能,低风险
4,社区氛围好，互动很积极,2.1.0,2026-07-06,68,搜索,中风险
5,视频流畅，加载很快,2.1.0,2026-07-13,76,功能,中风险
2,搜索功能越来越难用,1.8.0,2026-07-19,17,内容,高风险
3,一般般，没有惊喜,2.0.0,2026-06-21,52,内容,低风险
2,无故封号，申诉没人理,1.8.0,2026-06-24,3,客服,高风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-06-28,42,其他,低风险
5,推荐算法不错，经常有好物,1.9.0,2026-07-22,91,社区,中风险
5,搜索准确，找东西方便多了,1.8.0,2026-06-21,89,电商,低风险
4,笔记质量高，信息量很大,1.9.0,2026-07-03,93,社区,低风险
4,笔记质量高，信息量很大,2.1.0,2026-06-30,97,内容,中风险
5,购物链路顺畅，下单方便,2.0.0,2026-06-20,94,电商,中风险
4,购物链路顺畅，下单方便,1.8.0,2026-06-16,95,搜索,中风险
4,界面简洁，用起来很顺手,1.8.0,2026-06-15,77,社区,低风险
5,搜索准确，找东西方便多了,1.8.0,2026-07-21,81,搜索,中风险
2,无故封号，申诉没人理,1.9.0,2026-06-24,11,客服,高风险
1,账号莫名被禁言，没有任何通知,2.0.0,2026-07-23,21,客服,中风险
5,直播体验不错，带货实在,1.8.0,2026-06-21,87,搜索,低风险
4,推荐算法不错，经常有好物,1.9.0,2026-06-29,71,社区,中风险
4,视频流畅，加载很快,2.0.0,2026-06-30,84,内容,低风险
1,更新后经常闪退，体验很差,1.9.0,2026-07-06,18,账号,高风险
4,界面简洁，用起来很顺手,2.0.0,2026-07-16,100,搜索,中风险
4,笔记质量高，信息量很大,2.0.0,2026-07-08,78,搜索,中风险
5,推荐算法不错，经常有好物,1.8.0,2026-07-23,76,内容,低风险
5,推荐算法不错，经常有好物,1.8.0,2026-06-16,97,功能,低风险
4,推荐算法不错，经常有好物,2.0.0,2026-07-28,79,社区,低风险
5,搜索准确，找东西方便多了,2.1.0,2026-07-26,88,内容,中风险
4,社区氛围好，互动很积极,2.1.0,2026-07-05,79,搜索,低风险
5,界面简洁，用起来很顺手,2.1.0,2026-07-26,93,搜索,低风险
3,一般般，没有惊喜,2.1.0,2026-07-10,60,其他,低风险
4,搜索准确，找东西方便多了,1.8.0,2026-07-16,77,内容,低风险
5,界面简洁，用起来很顺手,2.0.0,2026-07-19,83,社区,低风险
4,界面简洁，用起来很顺手,2.0.0,2026-07-26,100,搜索,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-06-10,42,功能,低风险
3,偶尔用用，没啥特别感觉,1.8.0,2026-07-02,28,内容,低风险
5,社区氛围好，互动很积极,2.0.0,2026-07-12,83,内容,低风险
2,客服完全联系不上，太失望了,2.0.0,2026-06-25,15,账号,高风险
4,推荐算法不错，经常有好物,2.0.0,2026-06-18,82,内容,低风险
4,界面简洁，用起来很顺手,2.0.0,2026-07-17,60,内容,低风险
3,一般般，没有惊喜,2.0.0,2026-06-24,52,内容,中风险
5,社区氛围好，互动很积极,2.1.0,2026-07-20,90,搜索,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-07-06,55,功能,低风险
4,攻略很实用，收藏了很多,1.8.0,2026-06-29,98,社区,低风险
5,视频流畅，加载很快,2.1.0,2026-07-03,68,内容,低风险
5,推荐算法不错，经常有好物,1.8.0,2026-06-09,63,功能,低风险
1,广告越来越多，推荐质量下降,1.8.0,2026-07-20,14,功能,高风险
4,搜索准确，找东西方便多了,2.0.0,2026-07-10,99,内容,低风险
4,搜索准确，找东西方便多了,2.0.0,2026-06-28,93,搜索,低风险
5,搜索准确，找东西方便多了,1.9.0,2026-06-24,67,电商,低风险
4,内容丰富，种草体验很好,1.8.0,2026-06-11,70,功能,低风险
5,推荐算法不错，经常有好物,2.1.0,2026-07-11,94,电商,中风险
2,客服完全联系不上，太失望了,1.9.0,2026-06-05,10,账号,高风险
4,界面简洁，用起来很顺手,2.0.0,2026-07-23,66,社区,低风险
4,推荐算法不错，经常有好物,1.9.0,2026-07-13,92,搜索,低风险
3,用了一阵子，感觉普通,1.8.0,2026-06-14,55,内容,中风险
4,笔记质量高，信息量很大,1.8.0,2026-06-18,75,搜索,中风险
4,内容丰富，种草体验很好,2.0.0,2026-07-07,84,电商,低风险
5,直播体验不错，带货实在,2.0.0,2026-07-04,75,搜索,低风险
2,笔记被限流，流量骤降,1.8.0,2026-07-11,21,内容,低风险
3,用了一阵子，感觉普通,1.9.0,2026-06-05,46,其他,低风险
5,社区氛围好，互动很积极,1.8.0,2026-07-05,77,搜索,低风险
5,攻略很实用，收藏了很多,1.8.0,2026-06-24,68,社区,中风险
1,账号莫名被禁言，没有任何通知,1.9.0,2026-06-06,17,账号,高风险
5,攻略很实用，收藏了很多,1.9.0,2026-06-17,100,电商,中风险
3,用了一阵子，感觉普通,2.0.0,2026-07-28,37,功能,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-06-09,30,内容,中风险
4,购物链路顺畅，下单方便,2.1.0,2026-06-05,60,电商,中风险
2,账号莫名被禁言，没有任何通知,1.9.0,2026-07-08,12,账号,高风险
5,搜索准确，找东西方便多了,1.9.0,2026-07-12,61,社区,中风险
2,广告越来越多，推荐质量下降,1.9.0,2026-06-26,4,客服,高风险
3,用了一阵子，感觉普通,1.9.0,2026-06-09,60,功能,低风险
5,社区氛围好，互动很积极,2.0.0,2026-06-16,68,社区,低风险
4,界面简洁，用起来很顺手,1.9.0,2026-06-30,79,搜索,低风险
2,账号莫名被禁言，没有任何通知,1.8.0,2026-06-16,15,账号,高风险
4,社区氛围好，互动很积极,2.1.0,2026-07-11,66,社区,低风险
2,更新后经常闪退，体验很差,2.1.0,2026-07-13,4,广告,高风险
5,直播体验不错，带货实在,1.8.0,2026-07-16,90,电商,低风险
4,社区氛围好，互动很积极,1.9.0,2026-06-30,61,内容,低风险
3,偶尔用用，没啥特别感觉,1.8.0,2026-07-27,58,内容,低风险
3,偶尔用用，没啥特别感觉,1.8.0,2026-06-19,41,其他,低风险
1,评论区被水军刷屏,2.0.0,2026-06-05,4,功能,高风险
1,无故封号，申诉没人理,1.9.0,2026-06-01,8,客服,高风险
5,购物链路顺畅，下单方便,2.0.0,2026-07-28,93,电商,低风险
